Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,Gender,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Churn
0.08345089809434919,0.0,0.0,0.5001337629392573,1.0,0.5158877069369855,0.5358248547702803,0.76413692960189,0.44628257110801695,1.0,0.27374470014097696,0.43359714179992453,0.41710260282618394,0.39237379535886996,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
0.7495642936505311,0.0,0.0,0.5410018069712943,1.0,0.7606045977627898,0.7595564496140855,0.5212445090450826,0.44628257110801695,1.0,0.47164148889616797,0.43359714179992453,0.7878836986291735,0.44814389590508985,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.3468347477196321,0.0,0.5158877069369855,0.5358248547702803,0.5212445090450826,0.27928780632495515,0.0,0.14879994738270597,0.0,0.30497303194689007,0.324705145600668,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0.5369240778895747,1.0,0.0,0.2810643335035239,0.0,0.2638244727108349,0.3314177018667068,0.26856223196104734,0.27928780632495515,1.0,0.9080595268853209,0.0,0.0,0.2783982186967262,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
0.32723342626612373,0.0,0.0,0.45483990889111436,0.0,0.2638244727108349,0.3314177018667068,0.26856223196104734,0.0,1.0,0.14879994738270597,0.0,0.41710260282618394,0.38691159586681967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
0.32723342626612373,0.0,0.0,0.45483990889111436,0.0,0.2638244727108349,0.3314177018667068,0.0,0.0,1.0,0.14879994738270597,0.0,0.41710260282618394,0.38691159586681967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.4653375539720671,1.0,0.0,0.2810643335035239,0.0,0.2638244727108349,0.5358248547702803,0.5212445090450826,0.27928780632495515,0.0,0.6211166095546474,0.0,0.7878836986291735,0.551334237901402,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.19033528726064525,0.0,0.5,0.8113651501856685,0.0,0.2638244727108349,0.5358248547702803,1.0,0.27928780632495515,0.0,0.27374470014097696,0.0,0.7878836986291735,0.4970949448561388,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.7495642936505311,0.0,0.0,0.5781702975295542,0.0,0.5158877069369855,0.3314177018667068,1.0,0.27928780632495515,1.0,0.27374470014097696,0.897385238499883,0.13873415175218956,0.3082141738858156,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.8688617944972685,0.0,1.0,0.6122046841700446,0.0,0.5158877069369855,0.7595564496140855,0.76413692960189,0.8616130938463311,0.0,0.6828727601396345,0.43359714179992453,0.5041695883777173,0.7626204641130013,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
